Date,tmp_air_max,tmp_air_min,sns_drt,rpr_hail,rpr_snow,rpr_gale,DeadSea_Level,Year,Month,Day,Change_from_lasTest,DeadSeaLevelsInPrecent
1990-12-13,25.415625,13.325000000000001,466.8,0.0,0.0,0.0,-407.6,1990,12,13,-0.07000000000005002,0.7689636752136743
1991-01-22,13.538709677419355,7.399999999999999,199.0,0.06666666666666667,0.0,0.0,-407.63,1991,1,22,-0.029999999999972715,0.768162393162393
1991-02-28,16.480645161290322,8.141935483870968,369.6,0.0,0.0,0.0,-407.73,1991,2,28,-0.10000000000002274,0.7654914529914522
1991-03-01,17.503333333333334,7.263333333333335,476.0,0.0,0.0,0.0,-407.67,1991,3,1,0.060000000000002274,0.7670940170940164
1991-03-31,21.809677419354838,11.899999999999999,552.0,0.0,0.0,0.0,-407.31,1991,3,31,0.36000000000001364,0.7767094017094013
1991-06-05,33.23548387096775,17.293548387096774,698.5714285714286,0.0,0.0,0.0,-407.6,1991,6,5,-0.29000000000002046,0.7689636752136743
1991-08-21,31.890322580645158,21.080645161290327,688.2857142857143,0.0,0.0,0.0,-408.0,1991,8,21,-0.39999999999997726,0.7582799145299142
1991-09-06,29.34666666666667,19.20322580645161,619.7142857142857,0.0,0.0,0.0,-407.65,1991,9,6,0.35000000000002274,0.7676282051282054
1991-09-16,31.954838709677425,21.025806451612905,567.4285714285714,0.0,0.0,0.0,-408.14,1991,9,16,-0.4900000000000091,0.7545405982905984
1991-10-10,27.16774193548387,15.967741935483868,565.7142857142857,0.0,0.0,0.0,-408.28,1991,10,10,-0.13999999999998636,0.7508012820512825
1991-11-19,22.575757575757574,11.975757575757573,512.25,0.0,0.0,0.0,-408.37,1991,11,19,-0.09000000000003183,0.7483974358974355
1991-12-07,18.68387096774193,10.790322580645162,461.0,0.0,0.0,0.0,-407.83,1991,12,7,0.5400000000000205,0.7628205128205129
1991-12-22,16.434375,5.978124999999999,456.0,0.0,0.0,0.0,-408.31,1991,12,22,-0.4800000000000182,0.7499999999999997
1992-01-27,11.527272727272731,2.7090909090909094,544.2857142857143,0.0,0.0,0.0,-407.99,1992,1,27,0.3199999999999932,0.758547008547008
1992-02-24,7.570967741935482,2.380645161290322,48.0,0.2857142857142857,0.5238095238095238,0.36,-407.1,1992,2,24,0.8899999999999864,0.7823183760683752
1992-03-29,23.112903225806452,10.15625,548.5714285714286,0.0,0.0,0.0,-406.47,1992,3,29,0.6299999999999955,0.7991452991452981
1992-04-27,23.22121212121212,11.054545454545455,651.4285714285714,0.0,0.0,0.0,-406.46,1992,4,27,0.010000000000047748,0.7994123931623934
1992-05-26,32.43529411764706,17.75588235294118,692.5714285714286,0.0,0.0,0.0,-406.37,1992,5,26,0.08999999999997499,0.8018162393162389
