Year,Month,DeadSea_Level_End_Of_Month,tmp_air_max,tmp_air_min,sns_drt,Date,Change_From_Last_Month
1977,1,-399.88,13.589352583586626,6.001286911395764,290.88095238095235,1977-01-01,-0.7599999999999909
1978,1,-400.38,14.250986928104576,5.902926303854875,388.1333333333334,1978-01-01,-0.5
1979,1,-400.14,16.30180341880342,7.491705756661638,347.2986111111111,1979-01-01,0.2400000000000091
1980,1,-400.49,15.008007221057534,6.466868695013349,361.1458333333333,1980-01-01,-0.35000000000002274
1981,1,-400.63,14.518208898944195,6.613934640522875,341.5714285714285,1981-01-01,-0.13999999999998636
1982,1,-401.39,17.195194744564493,8.315813725490196,371.33035714285717,1982-01-01,-0.7599999999999909
1983,1,-402.04,12.390532407407406,5.061111111111111,263.4638888888889,1983-01-01,-0.6500000000000341
1984,1,-403.08,17.18982668566002,8.09045584045584,376.5,1984-01-01,-1.0399999999999636
1985,1,-403.66,18.510141093474424,7.591060405643739,380.9166666666667,1985-01-01,-0.5800000000000409
1986,1,-404.22,19.46899288451013,9.686590038314174,425.3333333333333,1986-01-01,-0.5600000000000023
1986,9,-404.26,37.19375,21.184375000000003,551.0,1986-09-01,-0.03999999999996362
1986,10,-404.41,30.771875,18.368750000000002,496.5,1986-10-01,-0.1500000000000341
1986,12,-404.51,18.50322580645161,6.903225806451612,545.0,1986-12-01,-0.0999999999999659
1987,2,-404.54,14.28709677419355,9.277419354838708,175.0,1987-02-01,-0.03000000000002956
1987,7,-404.82,32.36666666666667,19.89784946236559,724.0,1987-07-01,-0.2799999999999727
1987,8,-404.94,31.180645161290325,20.80322580645161,700.0,1987-08-01,-0.12000000000000455
1987,9,-405.05,32.54666666666667,22.056666666666672,560.0,1987-09-01,-0.11000000000001364
1987,10,-405.02,21.33225806451613,15.22258064516129,262.8,1987-10-01,0.03000000000002956
1988,1,-405.23,15.801612903225806,7.143817204301076,427.2857142857143,1988-01-01,-0.21000000000003638
1988,4,-404.84,35.20344827586207,16.418518518518518,596.5714285714286,1988-04-01,0.3900000000000432
1988,5,-404.88,29.164482758620693,14.18448275862069,573.5,1988-05-01,-0.040000000000020464
1988,6,-405.01,27.953333333333337,19.382758620689657,721.0,1988-06-01,-0.12999999999999545
1988,8,-405.32,34.27333333333333,21.249999999999996,656.0,1988-08-01,-0.3100000000000023
1988,10,-405.55,26.86666666666667,15.937816091954023,574.7142857142858,1988-10-01,-0.2300000000000182
1988,11,-405.76,21.29666666666667,9.37,551.1428571428571,1988-11-01,-0.20999999999997954
1989,3,-405.85,22.895161290322584,8.896774193548387,622.2857142857142,1989-03-01,-0.09000000000003183
1989,4,-405.92,25.490000000000002,14.848275862068965,639.4285714285714,1989-04-01,-0.06999999999999318
1989,5,-405.9,28.95172413793103,15.946666666666664,727.0,1989-05-01,0.020000000000038654
1989,7,-406.22,33.23793103448276,21.08620689655173,728.0714285714286,1989-07-01,-0.32000000000005
1989,10,-406.59,26.5,14.261666666666667,520.4571428571429,1989-10-01,-0.3699999999999477
1989,11,-406.69,23.063333333333333,11.606666666666666,538.2857142857143,1989-11-01,-0.10000000000002274
1989,12,-406.75,16.22540229885058,7.604597701149426,334.1333333333333,1989-12-01,-0.060000000000002274
1990,1,-406.83,12.246875,2.93125,556.2857142857143,1990-01-01,-0.07999999999998408
1990,2,-406.85,15.635584677419354,6.107207661290323,441.7857142857143,1990-02-01,-0.020000000000038654
1990,3,-406.83,19.937499999999993,8.48125,588.0,1990-03-01,0.020000000000038654
1990,4,-406.84,34.709375,20.54193548387097,667.7142857142857,1990-04-01,-0.009999999999990905
1990,5,-406.91,33.00781250000001,17.228125,556.0,1990-05-01,-0.07000000000005002
1990,7,-407.11,33.95333333333334,19.583333333333332,725.0,1990-07-01,-0.19999999999998863
1990,9,-407.24,31.31290322580646,18.703225806451616,660.0,1990-09-01,-0.12999999999999545
1990,10,-407.39,23.27741935483871,14.13448275862069,508.0,1990-10-01,-0.14999999999997726
1990,11,-407.53,25.206249999999997,14.462500000000002,506.0,1990-11-01,-0.13999999999998636
1990,12,-407.6,25.415625,13.325000000000001,466.8,1990-12-01,-0.07000000000005002
1991,1,-407.63,13.538709677419355,7.399999999999999,199.0,1991-01-01,-0.029999999999972715
1991,2,-407.73,16.480645161290322,8.141935483870968,369.6,1991-02-01,-0.10000000000002274
1991,3,-407.31,19.656505376344086,9.581666666666667,514.0,1991-03-01,0.4200000000000159
1991,6,-407.6,33.23548387096775,17.293548387096774,698.5714285714286,1991-06-01,-0.29000000000002046
1991,8,-408.0,31.890322580645158,21.080645161290327,688.2857142857143,1991-08-01,-0.39999999999997726
1991,9,-408.14,30.650752688172048,20.114516129032257,593.5714285714286,1991-09-01,-0.13999999999998636
1991,10,-408.28,27.16774193548387,15.967741935483868,565.7142857142857,1991-10-01,-0.13999999999998636
1991,11,-408.37,22.575757575757574,11.975757575757573,512.25,1991-11-01,-0.09000000000003183
1991,12,-408.31,17.559122983870964,8.38422379032258,458.5,1991-12-01,0.060000000000002274
1992,1,-407.99,11.527272727272731,2.7090909090909094,544.2857142857143,1992-01-01,0.3199999999999932
1992,2,-407.1,7.570967741935482,2.380645161290322,48.0,1992-02-01,0.8899999999999864
1992,3,-406.47,23.112903225806452,10.15625,548.5714285714286,1992-03-01,0.6299999999999955
1992,4,-406.46,23.22121212121212,11.054545454545455,651.4285714285714,1992-04-01,0.010000000000047748
1992,5,-406.37,32.43529411764706,17.75588235294118,692.5714285714286,1992-05-01,0.08999999999997499
